YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Year 1,TOTAL,332009.65,50000.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.85,0.0,271.85,271.85,271.85,1.0,0,0.0,54728.15,0.0,0.0,932971.4,139945.71,0.0,0.0,0.0,0,54728.15,0.0
Year 2,TOTAL,642553.35,50000.04,16445.0,3289.0,822.24,2626.5,701.16,901.5,6285.39,819.67,5465.72,1819.2,14319.2,0.0,14319.2,271.85,21308.84,14591.05,0.684742,1,0.0,0.0,0.0,302.61,712378.12,106856.72,0.0,91925.54,319741.01,318618.73,0.0,4.0
Year 3,TOTAL,0.0,50000.04,65243.75,13048.75,3262.15,10821.12,2857.02,3673.32,25141.56,4787.41,20354.17,6439.68,6971.75,0.0,21290.98,271.85,21562.83,21562.83,1.0,0,23899.21,28665.17,0.0,49467.89,1117313.68,134077.64,0.0,0.0,0.0,264363.42,0.0,12.0
Year 4,TOTAL,0.0,50000.04,65243.75,13048.75,3262.15,11145.84,2942.73,3783.53,25141.56,9027.23,16114.37,5919.13,261.59,0.0,21552.59,271.85,21824.44,21824.44,1.0,0,77579.99,82302.11,0.0,55657.54,1243235.39,149188.26,0.0,0.0,0.0,199678.66,0.0,12.0
Year 5,TOTAL,0.0,50000.04,87051.25,17410.25,4352.53,15306.88,4025.48,5175.6,33488.6,14401.41,19087.22,7291.8,20626.74,0.0,42179.34,271.85,43776.68,42451.19,0.969721,1,120758.79,120758.79,114210.19,31982.28,841958.85,101035.06,0.0,118892.97,318463.31,471758.28,0.0,17.0
Year 6,TOTAL,0.0,50000.04,233983.75,46796.75,11699.19,42371.46,10958.99,14090.12,90202.88,23706.65,66496.22,17864.4,58326.12,0.0,100505.45,271.85,110657.79,100777.3,0.910711,1,144248.44,144248.44,352391.42,0.0,323151.52,38778.19,0.0,361929.71,969454.56,1417506.2,0.0,46.0
Year 7,TOTAL,0.0,50000.04,402723.75,80544.75,20136.21,75105.89,19273.27,24779.92,156561.18,34230.36,122330.82,26322.55,56479.35,0.0,156984.79,271.85,157256.64,157256.64,1.0,0,195368.77,202400.69,236670.82,10775.76,219409.17,26329.1,0.0,245738.27,658227.51,2030727.59,0.0,76.0
Year 8,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,87813.0,22471.2,28891.53,178169.16,42569.98,135599.18,25184.78,2037.01,0.0,159021.8,271.85,159293.65,159293.65,1.0,0,329880.93,336571.48,0.0,73147.77,0.0,0.0,0.0,0.0,0.0,1915009.84,0.0,84.0
Year 9,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,90447.36,23145.36,29758.29,178169.16,50613.74,127555.41,21009.52,2098.11,0.0,161119.92,271.85,161391.77,161391.77,1.0,0,468928.8,475267.75,0.0,68911.42,0.0,0.0,0.0,0.0,0.0,1795484.71,0.0,84.0
Year 10,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,93160.8,23839.69,30651.06,178169.16,58922.57,119246.59,16708.99,2161.06,0.0,163280.98,271.85,163552.83,163552.83,1.0,0,612409.72,618386.51,0.0,64547.93,0.0,0.0,0.0,0.0,0.0,1672014.21,0.0,84.0
Year 11,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,95955.6,24554.89,31570.58,178169.16,67506.09,110663.07,12279.44,2225.88,0.0,165506.87,271.85,165778.72,165778.72,1.0,0,760475.17,766078.94,0.0,60053.55,0.0,0.0,0.0,0.0,0.0,1544454.57,0.0,84.0
Year 12,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,98834.28,25291.53,32517.69,178169.16,76374.35,101794.81,7717.01,2292.67,0.0,167799.54,271.85,168071.39,168071.39,1.0,0,913282.5,918502.06,0.0,55424.32,0.0,0.0,0.0,0.0,0.0,1412655.9,0.0,84.0
Year 13,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,101799.36,26050.27,33493.22,178169.16,85299.7,92631.41,3017.7,2361.43,0.0,170160.99,271.85,170432.84,170432.84,1.0,0,1070821.96,1075645.78,0.0,50656.24,0.0,0.0,0.0,0.0,0.0,1276699.94,0.0,84.0
Year 14,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,104853.36,26831.79,34498.0,153027.6,69976.37,83051.19,23319.02,0.0,0.0,170160.99,271.85,160294.33,170432.84,1.063249,0,1233879.95,1240467.77,0.0,73319.0,0.0,0.0,0.0,0.0,0.0,1133404.57,0.0,84.0
Year 15,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,107998.92,27636.74,35532.95,153027.6,79946.99,73080.58,18333.51,0.0,0.0,170160.99,271.85,162799.6,170432.84,1.046887,0,1403954.51,1410124.78,0.0,68333.52,0.0,0.0,0.0,0.0,0.0,985124.08,0.0,84.0
Year 16,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,111238.92,28465.86,36598.94,153027.6,90265.26,62762.33,13198.46,0.0,0.0,170160.99,271.85,165380.01,170432.84,1.030553,0,1579665.86,1585406.06,0.0,63198.44,0.0,0.0,0.0,0.0,0.0,831660.38,0.0,84.0
Year 17,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,114576.0,29319.82,37696.92,153027.6,100944.99,52082.58,7909.31,0.0,0.0,170160.99,271.85,168037.85,170432.84,1.014253,0,1761220.89,1766518.12,0.0,57909.35,0.0,0.0,0.0,0.0,0.0,672806.05,0.0,84.0
Year 18,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,118013.28,30199.42,38827.82,153027.6,111997.82,41029.76,2461.56,342.57,0.0,170503.56,271.85,170775.41,170775.41,1.0,0,1948646.63,1953401.53,0.0,52118.97,0.0,0.0,0.0,0.0,0.0,508689.26,0.0,84.0
Year 19,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,121553.76,31105.39,39992.67,153027.6,123275.51,29752.06,-3149.67,2819.69,0.0,173323.26,271.85,173595.11,173595.11,1.0,0,2140370.94,2144653.31,0.0,44030.66,0.0,0.0,0.0,0.0,0.0,341383.11,0.0,84.0
Year 20,TOTAL,0.0,50000.04,456706.25,91341.25,22835.35,125200.32,32038.57,41192.44,153027.6,134913.7,18113.86,-8929.19,2904.3,0.0,176227.54,271.85,176499.39,176499.39,1.0,0,2338396.15,2342191.81,0.0,38166.51,0.0,0.0,0.0,0.0,0.0,168302.9,0.0,84.0
